Sample	Group
SRR17717764	2296
SRR17717763	2296
SRR17730392	2299
SRR17730391	2300
SRR17730390	2301
SRR17730389	2302
SRR17730388	2303
SRR17730387	2304
SRR17730381	2306
SRR17730380	2307
SRR17858733	2310
SRR17858730	2311
SRR17858728	2311
SRR17858727	2312
SRR17858726	2312
SRR17858725	2312
SRR17858724	2313
SRR17858723	2313
SRR17858718	2314
SRR17858717	2315
SRR17858716	2315
SRR17858715	2315
SRR17858710	2317
SRR17858709	2317
SRR17858708	2318
SRR17858707	2318
SRR17858706	2318
SRR17858704	2319
SRR17858702	2320
SRR17858701	2320
SRR17858700	2320
SRR17858699	2321
SRR17858698	2321
SRR17858697	2321
SRR17858696	2322
SRR17858694	2323
SRR17858693	2323
SRR17858692	2323
SRR17858688	2325
SRR17858687	2325
SRR17858686	2325
SRR17858685	2326
SRR17858684	2326
SRR17858682	2327
SRR17858681	2327
SRR17858680	2327
SRR17858679	2328
SRR17858677	2328
SRR17858673	2319
SRR17858667	2313
SRR17858666	2313
SRR18042670	2336
SRR18042669	2336
SRR18042668	2336
SRR18042667	2337
SRR18042666	2337
SRR18042665	2337
SRR18042664	2338
SRR18042663	2338
SRR18042662	2338
SRR18042661	2339
SRR18042660	2339
SRR18042659	2339
SRR18042658	2340
SRR18042657	2340
SRR18042656	2340
SRR18042655	2341
SRR18042654	2341
SRR18042653	2342
SRR18042652	2342
SRR18042651	2343
SRR18042650	2343
SRR18048330	2344
SRR18048329	2344
SRR18048328	2345
SRR18048327	2345
SRR18048326	2346
SRR18048325	2346
SRR18048324	2347
SRR18048323	2347
SRR18048322	2348
SRR18048321	2348
SRR18048320	2349
SRR18048319	2349
SRR18190591	2350
SRR18190590	2350
SRR18190589	2351
SRR18190588	2351
SRR18190587	2352
SRR18190586	2352
SRR18190585	2353
SRR18190584	2353
SRR18190583	2354
SRR18190582	2354
SRR18363034	2376
SRR18363033	2376
SRR18363032	2377
SRR18363031	2377
SRR18363030	2378
SRR18363029	2378
SRR18363028	2379
SRR18363027	2379
SRR18363042	2380
SRR18363041	2380
SRR18363040	2381
SRR18363039	2381
SRR18363038	2382
SRR18363037	2382
SRR18363036	2383
SRR18363035	2383
SRR18363074	2384
SRR18363073	2384
SRR18363072	2385
SRR18363071	2385
SRR18363070	2386
SRR18363069	2386
SRR18363068	2387
SRR18363067	2387
SRR18363066	2389
SRR18363065	2389
SRR18363064	2390
SRR18363063	2390
SRR18363062	2391
SRR18363061	2391
SRR18363060	2392
SRR18363059	2392
SRR18363589	2393
SRR18363588	2393
SRR18363587	2394
SRR18363586	2394
SRR18363585	2395
SRR18363584	2395
SRR18363583	2396
SRR18363582	2396
SRR18455932	2397
SRR18455931	2397
SRR18455930	2398
SRR18455929	2398
SRR18455928	2399
SRR18455927	2399
SRR18455924	2401
SRR18455923	2401
SRR18495829	2409
SRR18495827	2410
SRR18495826	2410
SRR18933292	2412
SRR18933291	2412
SRR18933290	2412
SRR18933289	2413
SRR18933288	2413
SRR18933287	2413
SRR18961412	2414
SRR18961411	2414
SRR18961410	2415
SRR18961409	2415
SRR18961408	2416
SRR18961407	2416
SRR18961406	2416
SRR18961405	2417
SRR18961404	2417
SRR18961403	2417
SRR18961402	2414
SRR18961401	2418
SRR18961400	2418
SRR18961399	2418
SRR18961398	2419
SRR18961397	2419
SRR18961396	2419
SRR18961395	2415
SRR3086937	2420
SRR3086938	2420
SRR3086939	2421
SRR3086940	2421
SRR3086941	2422
SRR3086942	2422
SRR3086943	2423
SRR3086944	2423
SRR3086945	2424
SRR3086946	2424
SRR3086947	2425
SRR3086948	2425
SRR3086949	2426
SRR3086950	2426
SRR3086951	2427
SRR3086952	2427
SRR19213846	2428
SRR19213845	2428
SRR19213844	2428
SRR19213843	2429
SRR19213842	2429
SRR19213841	2429
SRR19213840	2430
SRR19213839	2430
SRR19213838	2430
SRR19213837	2431
SRR19213836	2431
SRR19213835	2431
SRR19213834	2432
SRR19213833	2432
SRR19213832	2432
SRR19213831	2433
SRR19213830	2433
SRR19213829	2433
SRR19213828	2434
SRR19213827	2434
SRR19213826	2434
SRR19213825	2435
SRR19213824	2435
SRR19213822	2436
SRR19213821	2436
SRR19213820	2436
SRR19213819	2436
SRR19213818	2437
SRR19213817	2437
SRR19213816	2437
SRR19213815	2438
SRR19213814	2438
SRR19213813	2438
SRR19213812	2439
SRR19213811	2439
SRR19213810	2439
SRR19213809	2440
SRR19213808	2440
SRR19213807	2440
SRR19213805	2441
SRR19213804	2441
SRR19213803	2441
SRR19213801	2442
SRR19213800	2442
SRR19213799	2442
SRR19213798	2443
SRR19213797	2443
SRR19213795	2444
SRR19213794	2444
SRR19213793	2444
SRR19213792	2444
SRR19213791	2444
SRR19213790	2445
SRR19213789	2445
SRR19213788	2445
SRR19213787	2446
SRR19213786	2446
SRR19213785	2446
SRR19213784	2446
SRR19213783	2446
SRR19521660	5215
SRR19521659	5214
SRR19521658	5213
SRR19521657	5212
SRR19521656	5215
SRR19521655	5214
SRR19521654	5213
SRR19521653	5212
SRR3143845	5211
SRR3143846	5210
SRR3143847	5209
SRR3143848	5208
SRR3143849	5207
SRR3143850	5206
SRR19857911	5204
SRR19857910	5204
SRR19857909	5204
SRR19857908	5204
SRR19857907	5204
SRR19857906	5204
SRR19857905	5204
SRR19857904	5204
SRR19857903	5204
SRR19857902	5205
SRR19857901	5205
SRR19857900	5205
SRR19857899	5204
SRR19857898	5204
SRR19857897	5204
SRR20673769	5203
SRR20673768	5202
SRR20673767	5201
SRR20673766	5200
SRR21026200	5199
SRR21026199	5198
SRR21026198	5199
SRR21026197	5198
SRR21026196	5199
SRR21026195	5198
SRR21026194	5197
SRR21026193	5196
SRR21026192	5197
SRR21026191	5196
SRR21026190	5197
SRR21026189	5196
SRR21026188	5195
SRR21026187	5194
SRR21026186	5195
SRR21026185	5194
SRR21026184	5195
SRR21026183	5194
SRR21026182	5193
SRR21026181	5192
SRR21026180	5193
SRR21026179	5192
SRR21026178	5193
SRR21026177	5192
SRR21218507	5189
SRR21218506	5189
SRR21218505	5188
SRR21218504	5188
SRR21218503	5188
SRR21218502	5188
SRR21218501	5187
SRR21218500	5187
SRR21218499	5187
SRR21218498	5187
SRR21218497	5186
SRR21218496	5186
SRR21218495	5184
SRR21218494	5186
SRR21218493	5186
SRR21218492	5185
SRR21218491	5185
SRR21218490	5185
SRR21218489	5184
SRR21218488	5184
SRR21218487	5185
SRR21218486	5184
SRR21675925	5183
SRR21675924	5183
SRR21675923	5182
SRR21675922	5182
SRR21675921	5181
SRR21675920	5181
SRR21675919	5180
SRR21675918	5180
SRR21725953	5179
SRR21725952	5179
SRR21725948	5179
SRR21725947	5178
SRR21725949	5178
SRR21725946	5178
SRR21725950	5177
SRR21725945	5177
SRR21725951	5177
SRR21725944	5176
SRR21725940	5176
SRR21725939	5176
SRR21725938	5175
SRR21725941	5175
SRR21725937	5175
SRR21725942	5174
SRR21725936	5174
SRR21725943	5174
SRR21725935	5173
SRR21725934	5173
SRR21725932	5173
SRR21725931	5172
SRR21725933	5172
SRR21725930	5172
SRR21798864	5171
SRR21798863	5171
SRR21798862	5171
SRR21798861	5170
SRR21798860	5170
SRR21798859	5170
SRR22012235	5169
SRR22012234	5169
SRR22012233	5168
SRR22012232	5168
SRR22036883	5166
SRR22036879	5167
SRR22036878	5167
SRR22036877	5167
SRR22036874	5166
SRR22036873	5166
SRR22340785	5165
SRR22340784	5165
SRR22340783	5165
SRR22340782	5164
SRR22340781	5164
SRR22340780	5164
SRR22340779	5163
SRR22340778	5163
SRR22340777	5163
SRR22340776	5162
SRR22340775	5162
SRR22340774	5162
SRR22340773	5161
SRR22340772	5161
SRR22340771	5161
SRR22340770	5160
SRR22340769	5160
SRR22340768	5160
SRR22340767	5159
SRR22340766	5159
SRR22340765	5159
SRR22340764	5158
SRR22340763	5158
SRR22340762	5158
SRR22571586	5155
SRR22571585	5154
SRR22571584	5157
SRR22571583	5157
SRR22571582	5157
SRR22571581	5156
SRR22571580	5155
SRR22571579	5156
SRR22571578	5156
SRR22571577	5155
SRR22571576	5154
SRR22571575	5154
SRR22682984	5152
SRR22682983	5153
SRR22682975	5152
SRR22682974	5152
SRR22682973	5151
SRR22682972	5151
SRR22682971	5151
SRR22682970	5150
SRR22682969	5150
SRR22682968	5150
SRR568038	5149
SRR568039	5149
SRR568040	5148
SRR3725585	212
SRR3725586	212
SRR3725587	212
SRR3725588	213
SRR3725589	213
SRR3725590	213
SRR3725591	214
SRR3725592	214
SRR3725593	214
SRR3725594	215
SRR3725595	215
SRR3725596	215
SRR3725597	216
SRR3725598	216
SRR3725599	216
SRR22989384	5143
SRR22989383	5143
SRR22989382	5143
SRR22989381	5142
SRR22989380	5142
SRR22989379	5142
SRR22989378	5141
SRR22989377	5141
SRR22989376	5141
SRR22989375	5140
SRR22989374	5140
SRR22989373	5140
SRR22989372	5139
SRR22989371	5139
SRR22989370	5139
SRR22989369	5138
SRR22989368	5138
SRR22989367	5138
SRR22989366	5137
SRR22989365	5137
SRR22989364	5137
SRR22989363	5136
SRR22989362	5136
SRR22989361	5136
SRR22989360	5135
SRR22989359	5135
SRR22989358	5135
SRR23216885	5132
SRR23216884	5131
SRR23216883	5132
SRR23216882	5131
SRR23216881	5134
SRR23216880	5134
SRR23216879	5133
SRR23216878	5133
SRR23216877	5132
SRR23216876	5132
SRR23216875	5131
SRR23216874	5131
SRR23216873	5131
SRR23216872	5134
SRR23216871	5132
SRR23216870	5134
SRR23216869	5133
SRR23216868	5133
SRR23216867	5132
SRR23216866	5132
SRR23216865	5131
SRR23216864	5131
SRR23216863	5134
SRR23216862	5134
SRR23216861	5134
SRR23216860	5133
SRR23216859	5131
SRR23216858	5133
SRR23216857	5132
SRR23216856	5132
SRR23216855	5131
SRR23216854	5131
SRR23216853	5134
SRR23216852	5134
SRR23216851	5134
SRR23216850	5133
SRR23216849	5133
SRR23216848	5131
SRR23216847	5134
SRR23216846	5134
SRR23216845	5133
SRR23216844	5133
SRR23216843	5133
SRR23216842	5133
SRR23216841	5132
SRR23216840	5132
SRR23216839	5131
SRR23269637	5129
SRR23269636	5129
SRR23269635	5128
SRR23269634	5128
SRR23269633	5127
SRR23269632	5127
SRR23270449	5126
